API,Category,Description_URL
Accept,Internet,https://malapi.io/winapi/Accept
AdjustTokenPrivileges,Injection,https://malapi.io/winapi/AdjustTokenPrivileges
AttachThreadInput,Spying,https://malapi.io/winapi/AttachThreadInput
Bind,Internet,https://malapi.io/winapi/Bind
BitBlt,Spying,https://malapi.io/winapi/BitBlt
BringWindowToTop,Helper,https://malapi.io/winapi/BringWindowToTop
CallNextHookEx,Spying,https://malapi.io/winapi/CallNextHookEx
CallWindowProcA,Helper,https://malapi.io/winapi/CallWindowProcA
CheckRemoteDebuggerPresent,Anti-Debugging,https://malapi.io/winapi/CheckRemoteDebuggerPresent
Closesocket,Internet,https://malapi.io/winapi/Closesocket
Connect,Internet,https://malapi.io/winapi/Connect
ConnectNamedPipe,Helper,https://malapi.io/winapi/ConnectNamedPipe
ControlService,Helper,https://malapi.io/winapi/ControlService
ControlServiceExA,Helper,https://malapi.io/winapi/ControlServiceExA
CopyFile2,Helper,https://malapi.io/winapi/CopyFile2
CopyFileA,Helper,https://malapi.io/winapi/CopyFileA
CopyFileExA,Helper,https://malapi.io/winapi/CopyFileExA
CountClipboardFormats,Anti-Debugging,https://malapi.io/winapi/CountClipboardFormats
CreateFile2,Helper,https://malapi.io/winapi/CreateFile2
CreateFileA,Helper,https://malapi.io/winapi/CreateFileA
CreateFileMappingA,Injection,https://malapi.io/winapi/CreateFileMappingA
CreateFileMappingA,Evasion,https://malapi.io/winapi/CreateFileMappingA
CreateMutexA,Helper,https://malapi.io/winapi/CreateMutexA
CreateMutexExA,Helper,https://malapi.io/winapi/CreateMutexExA
CreatePipe,Helper,https://malapi.io/winapi/CreatePipe
CreateProcessA,Injection,https://malapi.io/winapi/CreateProcessA
CreateProcessAsUserA,Injection,https://malapi.io/winapi/CreateProcessAsUserA
CreateProcessInternal,Injection,https://malapi.io/winapi/CreateProcessInternal
CreateProcessInternal,Evasion,https://malapi.io/winapi/CreateProcessInternal
CreateProcessWithTokenW,Injection,https://malapi.io/winapi/CreateProcessWithTokenW
CreateRemoteThread,Injection,https://malapi.io/winapi/CreateRemoteThread
CreateRemoteThreadEx,Injection,https://malapi.io/winapi/CreateRemoteThreadEx
CreateServiceA,Helper,https://malapi.io/winapi/CreateServiceA
CreateThread,Injection,https://malapi.io/winapi/CreateThread
CreateTimerQueueTimer,Evasion,https://malapi.io/winapi/CreateTimerQueueTimer
CreateToolhelp32Snapshot,Enumeration,https://malapi.io/winapi/CreateToolhelp32Snapshot
CreateToolhelp32Snapshot,Anti-Debugging,https://malapi.io/winapi/CreateToolhelp32Snapshot
CreateWaitableTimer,Evasion,https://malapi.io/winapi/CreateWaitableTimer
